,spot,timestamp,reporter,reporter_grid,snr,frequency,tx_call,tx_grid,power,drift,distance,azimuth,band,version,code
5377063,1094556838,1520321040,UNLIS,JN89bo,-16,10.140233,G3WUN,IO91ms,23,0,1224,95,10,,0
17879797,1107151926,1521370440,K3RWR/3,FM18qi,-15,7.040066,AC6OT,CM87,40,2,4029,74,7,,0
15752244,1105013061,1521181680,DK8FT/A,JN58oe,-1,7.040030000000001,2E0DSS,IO82xl,40,0,1052,112,7,,0
13722764,1102964760,1521021480,PA0ARR,JO21du,-25,7.040037,IK1WVQ,JN44cb,27,0,914,343,7,1.8.0,0
16524560,1105795363,1521246360,VK5MR,PF89kk,5,14.097114000000001,VK3MOW,QF22,37,0,1073,314,14,1.8.0-rc1,0
26585962,1115916657,1522187280,DL1GCD/2,JN48ar,-26,7.040133,VE0EXP,FN74uj,23,-1,5340,58,7,,0
2903695,1092056708,1520103360,DD2DR,JN49ac,-24,0.475778,DL2WB,JN39qh,7,0,54,115,0,2.0_r1714,0
15960777,1105220589,1521199680,SA6BSS/RX,JO68,-15,10.140139999999999,G0MBA,JO01,23,0,1089,40,10,1.9.0-rc2,0
27397576,1116743521,1522272600,DL/PA0EHG,JO32sq,-16,3.594171,G0CSK,IO93,27,0,580,95,3,,0
13052910,1102283687,1520969280,RT2T,LO26dd,-21,7.040039999999999,HB9FXY,JN36cl,37,0,2812,54,7,,0
4100788,1093262728,1520200560,N2HQI,FN13sa,-17,10.14016,N5CEY,EL16gc,30,-1,2675,40,10,,0
20032864,1109308799,1521567240,N5CEY,EL16gc,-22,14.09702,KK4CUH,EM77qv,23,-1,1781,226,14,2.0_r1714,0
25719564,1115035460,1522097040,N4TVC,FM18is,-3,14.097098,ON7KB,JO21ei,37,-1,6223,291,14,,0
573337,1089716892,1519914120,DF4UE,JN48rr,-27,7.040151,M0MVA,IO81,30,0,941,104,7,,0
9675434,1098879363,1520663400,ON7ZO,JO20ei,-9,0.47568999999999995,DH5RAE,JN68qv,27,0,668,287,0,2.0_r1714,0
21309541,1110593653,1521708840,LX1DQ,JN39cq,-6,10.140124,GM8FXD,IO77sh,37,0,1100,136,10,1.2 Kiwi,0
